Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
102,Engine Worktime,4,Unsigned,0,1677215,min,"ALLCAN300, CANCONTROL"
103,Engine Worktime (counted),4,Unsigned,0,1677215,min,"ALLCAN300, CANCONTROL"
105,Total Mileage (counted),4,Unsigned,0,4294967295,m,"LVCAN200, ALLCAN300, CANCONTROL"
107,Fuel Consumed (counted),4,Unsigned,0,2147483647,l,"LVCAN200, ALLCAN300, CANCONTROL"
110,Fuel Rate,2,Unsigned,0,32768,l/h,ALLCAN300
111,AdBlue Level,1,Unsigned,0,100,%,ALLCAN300
112,AdBlue Level,2,Unsigned,0,65535,l,ALLCAN300
114,Engine Load,1,Unsigned,0,130,%,ALLCAN300
115,Engine Temperature,2,Signed,-600,1270,°C,"LVCAN200, ALLCAN300, CANCONTROL"
118,Axle 1 Load,2,Unsigned,0,32768,kg,ALLCAN300
119,Axle 2 Load,2,Unsigned,0,32768,kg,ALLCAN300
120,Axle 3 Load,2,Unsigned,0,32768,kg,ALLCAN300
121,Axle 4 Load,2,Unsigned,0,32768,kg,ALLCAN300
122,Axle 5 Load,2,Unsigned,0,32768,kg,ALLCAN300
123,Control State Flags,4,Unsigned,0,4294967295,-,"ALLCAN300, CANCONTROL"
124,Agricultural Machinery Flags,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
125,Harvesting Time,4,Unsigned,0,16777215,min,ALLCAN300
126,Area of Harvest,4,Unsigned,0,4294967295,m2,ALLCAN300
127,Mowing Efficiency,4,Unsigned,0,4294967295,m2/h,ALLCAN300
128,Grain Mown Volume,4,Unsigned,0,4294967295,kg,ALLCAN300
129,Grain Moisture,2,Unsigned,0,100,%,ALLCAN300
130,Harvesting Drum RPM,2,Unsigned,0,65535,rpm,ALLCAN300
131,Gap Under Harvesting Drum,1,Unsigned,0,255,mm,ALLCAN300
132,Security State Flags,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,"ALLCAN300, CANCONTROL"
133,Tachograph Total Vehicle Distance,4,Unsigned,0,4294967295,m,ALLCAN300
134,Trip Distance,4,Unsigned,0,4294967295,m,ALLCAN300
135,Tachograph Vehicle Speed,2,Unsigned,0,255,km/h,ALLCAN300
136,Tacho Driver Card Presence,1,Unsigned,0,3,-,ALLCAN300
137,Driver 1 States,1,Unsigned,0,255,-,ALLCAN300
138,Driver 2 States,1,Unsigned,0,255,-,ALLCAN300
139,Driver 1 Continuous Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
140,Driver 2 Continuous Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
141,Driver 1 Cumulative Break Time,2,Unsigned,0,65535,min.,ALLCAN300
142,Driver 2 Cumulative Break Time,2,Unsigned,0,65535,min.,ALLCAN300
143,Driver 1 Selected Activity Duration,2,Unsigned,0,65535,min.,ALLCAN300
144,Driver 2 Selected Activity Duration,2,Unsigned,0,65535,min.,ALLCAN300
145,Driver 1 Cumulative Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
146,Driver 2 Cumulative Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
147,Driver 1 ID High,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
148,Driver 1 ID Low,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
149,Driver 2 ID High,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
150,Driver 2 ID Low,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
151,Battery Temperature,2,Signed,-600,1270,°C,ALLCAN300
152,HV Battery Level,1,Unsigned,0,100,%,"ALLCAN300, CANCONTROL"
160,DTC Faults,1,Unsigned,0,255,-,"ALLCAN300, CANCONTROL"
161,Slope of Arm,2,Signed,-3276,3276,Degrees °,ALLCAN300
162,Rotation of Arm,2,Signed,-180,180,Degrees °,ALLCAN300
163,Eject of Arm,2,Unsigned,0,6553,m,ALLCAN300
164,Horizontal Distance Arm Vehicle,2,Unsigned,0,6553,m,ALLCAN300
165,Height Arm Above Ground,2,Unsigned,0,6553,m,ALLCAN300
166,Drill RPM,2,Unsigned,0,65535,rpm,ALLCAN300
167,Amount Of Spread Salt Square Meter,2,Unsigned,0,655,g/m2,ALLCAN300
168,Battery Voltage,2,Unsigned,0,6553,V,ALLCAN300
169,Amount Of Spread Fine Grained Salt,4,Unsigned,0,1677722,T,ALLCAN300
170,Amount Of Coarse Grained Salt,4,Unsigned,0,1677722,T,ALLCAN300
171,Amount Of Spread DiMix,4,Unsigned,0,1677722,T,ALLCAN300
172,Amount Of Spread Coarse Grained Calcium,4,Unsigned,0,1677722,m3,ALLCAN300
173,Amount Of Spread Calcium Chloride,4,Unsigned,0,1677722,m3,ALLCAN300
174,Amount Of Spread Sodium Chloride,4,Unsigned,0,1677722,m3,ALLCAN300
176,Amount Of Spread Magnesium Chloride,4,Unsigned,0,1677722,m3,ALLCAN300
177,Amount Of Spread Gravel,4,Unsigned,0,1677722,T,ALLCAN300
178,Amount Of Spread Sand,4,Unsigned,0,1677722,T,ALLCAN300
183,Width Pouring Left,2,Unsigned,0,655,m,ALLCAN300
184,Width Pouring Right,2,Unsigned,0,655,m,ALLCAN300
185,Salt Spreader Working Hours,4,Unsigned,0,167722,h,ALLCAN300
186,Distance During Salting,4,Unsigned,0,167722,km,ALLCAN300
187,Load Weight,4,Unsigned,0,16772215,kg,ALLCAN300
188,Retarder Load,1,Unsigned,0,130,%,ALLCAN300
189,Cruise Time,4,Unsigned,0,16772215,min,ALLCAN300
232,CNG Status,1,Unsigned,0,1,-,"LVCAN200, CANCONTROL"
233,CNG Used,4,Unsigned,0,16772215,kg,"LVCAN200, CANCONTROL"
234,CNG Level,1,Unsigned,0,100,%,"LVCAN200, CANCONTROL"
235,Oil Level,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
304,Vehicles Range On Battery,4,Unsigned,0,16777215,m,"ALLCAN300, CANCONTROL"
305,Vehicles Range On Additional Fuel,4,Unsigned,0,16777215,m,"ALLCAN300, CANCONTROL"
325,VIN,17,ASCII,0,0xFF,-,"ALLCAN300, CANCONTROL"
282,Fault Codes,Variable,-,0,128,-,LV-CAN200 + DTC
517,Security State Flags P4,8,HEX,0,0xffffffffffffffff,-,ALLCAN300
518,Control State Flags P4,8,HEX,0,0xffffffffffffffff,-,ALLCAN300
519,Indicator State Flags P4,8,HEX,0,0xffffffffffffffff,-,ALLCAN300
520,Agricultural State Flags P4,8,HEX,0,0xffffffffffffffff,-,ALLCAN300
521,Utility State Flags P4,8,HEX,0,0xffffffffffffffff,-,ALLCAN300
522,Cistern State Flags P4,8,HEX,0,0xffffffffffffffff,-,ALLCAN300
855,LNG Used,4,Unsigned,0,214748364,kg,"ALLCAN300, CANCONTROL"
856,LNG Used (counted),4,Unsigned,0,214748364,kg,"ALLCAN300, CANCONTROL"
857,LNG Level,2,Unsigned,0,100,%,"ALLCAN300, CANCONTROL"
858,LNG Level,2,Unsigned,0,6553,kg,"ALLCAN300, CANCONTROL"
1100,Total LPG Used,4,Unsigned,0,4294967295,l,LVCAN
1101,Total LPG Used Counted,4,Unsigned,0,4294967295,l,LVCAN
1102,LPG Level Proc,2,Unsigned,0,65535,%,LVCAN
1103,LPG Level Liters,2,Unsigned,0,65535,l,LVCAN
898,SSF Ignition,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
652,SSF KeyInIgnitionLock,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
899,SSF Webasto,1,Unsigned,0,1,-,ALLCAN300
900,SSF Engine Working,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
901,SSF Standalone Engine,1,Unsigned,0,1,-,ALLCAN300
902,SSF Ready To Drive,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
903,SSF Engine Working On CNG,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
904,SSF Work Mode,1,Unsigned,0,1,-,ALLCAN300
905,SSF Operator,1,Unsigned,0,1,-,ALLCAN300
906,SSF Interlock,1,Unsigned,0,1,-,ALLCAN300
907,SSF Engine Lock Active,1,Unsigned,0,1,-,CANCONTROL
908,SSF Request To Lock Engine,1,Unsigned,0,1,-,CANCONTROL
653,SSF Handbrake Is Active,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
910,SSF Footbrake Is Active,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
911,SSF Clutch Pushed,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
912,SSF Hazard Warning Lights,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
654,SSF Front Left Door Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
655,SSF Front Right Door Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
656,SSF Rear Left Door Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
657,SSF Rear Right Door Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
658,SSF Trunk Door Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
913,SSF Engine Cover Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
909,SSF Roof Open,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
914,SSF Charging Wire Plugged,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
915,SSF Batttery Charging,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
916,SSF Electric Engine State,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
917,SSF Car Closed Factory Remote,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
662,SSF Car Is Closed,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
918,SSF Factory Alarm Actuated,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
919,SSF Factory Alarm Emulated,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
920,SSF Signal Close Factory Remote,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
921,SSF Signal Open Factory Remote,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
922,SSF Rearming Signal,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
923,SSF Trunk Door Opened Factory Remote,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
924,SSF CAN Module In Sleep,1,Unsigned,0,1,-,"LVCAN, ALLCAN300, CANCONTROL"
925,SSF Factory Remote 3x,1,Unsigned,0,1,-,ALLCAN300
926,SSF Factory Armed,1,Unsigned,0,1,-,CANCONTROL
660,SSF Parking Gear Active (automatic gear box),1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
661,SSF Reverse Gear Active,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
659,SSF Neutral Gear Active (automatic gear box),1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
927,SSF Drive Is Active (automatic gear box),1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
1083,SSF Engine Working On Dual Fuel,1,Unsigned,0,1,-,ALLCAN300
1084,SSF Engine Working On LPG,1,Unsigned,0,1,-,ALLCAN300
928,CSF Parking Lights,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
929,CSF Dipped Head lights,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
930,CSF Full Beam Headlights,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
931,CSF Rear Fog Lights,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
932,CSF Front Fog Lights,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
933,CSF Additional Front Lights,1,Unsigned,0,1,-,ALLCAN300
934,CSF Additional Rear Lights,1,Unsigned,0,1,-,ALLCAN300
935,CSF Light Signal,1,Unsigned,0,1,-,ALLCAN300
936,CSF Air Conditioning,1,Unsigned,0,1,-,ALLCAN300
937,CSF Cruise Control,1,Unsigned,0,1,-,ALLCAN300
938,CSF Automatic Retarder,1,Unsigned,0,1,-,ALLCAN300
939,CSF Manual Retarder,1,Unsigned,0,1,-,ALLCAN300
940,CSF Driver's Seatbelt Fastened,1,Unsigned,0,1,-,ALLCAN300
941,CSF Front Driver's Seatbelt Fastened,1,Unsigned,0,1,-,ALLCAN300
942,CSF Left Driver's Seatbelt Fastened,1,Unsigned,0,1,-,ALLCAN300
943,CSF Right Driver's Seatbelt Fastened,1,Unsigned,0,1,-,ALLCAN300
944,CSF Centre Driver's Seatbelt Fastened,1,Unsigned,0,1,-,ALLCAN300
945,CSF Front Passenger Present,1,Unsigned,0,1,-,ALLCAN300
946,CSF PTO,1,Unsigned,0,1,-,ALLCAN300
947,CSF Front Differential Locked,1,Unsigned,0,1,-,ALLCAN300
948,CSF Rear Differential Locked,1,Unsigned,0,1,-,ALLCAN300
949,CSF Central Differential 4HI Locked,1,Unsigned,0,1,-,ALLCAN300
950,CSF Rear Differential 4LO Locked,1,Unsigned,0,1,-,ALLCAN300
951,CSF Trailer Axle 1 Lift Active,1,Unsigned,0,1,-,ALLCAN300
952,CSF Trailer Axle 2 Lift Active,1,Unsigned,0,1,-,ALLCAN300
1085,CSF Trailer Connected,1,Unsigned,0,1,-,ALLCAN300
1086,CSF Start Stop System Inactive,1,Unsigned,0,1,-,ALLCAN300
953,ISF Check Engine Indicator,1,Unsigned,0,1,-,ALLCAN300
954,ISF ABS Indicator,1,Unsigned,0,1,-,ALLCAN300
955,ISF ESP Indicator,1,Unsigned,0,1,-,ALLCAN300
956,ISF ESP Turned Off,1,Unsigned,0,1,-,ALLCAN300
957,ISF Stop Indicator,1,Unsigned,0,1,-,ALLCAN300
958,ISF Oil Level Indicator,1,Unsigned,0,1,-,"ALLCAN300, CANCONTROL"
959,ISF Coolant liquid level,1,Unsigned,0,1,-,ALLCAN300
960,ISF Battery Not Charging Indicator,1,Unsigned,0,1,-,ALLCAN300
961,ISF Handbrake System Indicator,1,Unsigned,0,1,-,ALLCAN300
962,ISF AIRBAG Indicator,1,Unsigned,0,1,-,ALLCAN300
963,ISF EPS Indicator,1,Unsigned,0,1,-,ALLCAN300
964,ISF Warning Indicator,1,Unsigned,0,1,-,ALLCAN300
965,ISF Lights Failure Indicator,1,Unsigned,0,1,-,ALLCAN300
966,ISF Low Tire Pressure Indicator,1,Unsigned,0,1,-,ALLCAN300
967,ISF Wear Of Brake Pads Indicator,1,Unsigned,0,1,-,ALLCAN300
968,ISF Low Fuel Level Indicator,1,Unsigned,0,1,-,ALLCAN300
969,ISF Maintenence required Indicator,1,Unsigned,0,1,-,ALLCAN300
970,ISF Glow Plug Indicator,1,Unsigned,0,1,-,ALLCAN300
971,ISF FAP Indicator,1,Unsigned,0,1,-,ALLCAN300
972,ISF EPC (Electronic Power Control) Indicator,1,Unsigned,0,1,-,ALLCAN300
973,ISF Clogged Engine Oil Filter Indicator,1,Unsigned,0,1,-,ALLCAN300
974,ISF Low Engine Oil Pressure Indicator,1,Unsigned,0,1,-,ALLCAN300
975,ISF Too High Engine Oil Temperature Indicator,1,Unsigned,0,1,-,ALLCAN300
976,ISF Low Coolant Level Indicator,1,Unsigned,0,1,-,ALLCAN300
977,ISF Clogged Hydraulic System Oil filter Indicator,1,Unsigned,0,1,-,ALLCAN300
978,ISF Hydraulic System Low Pressure Indicator,1,Unsigned,0,1,-,ALLCAN300
979,ISF Hydraulic Oil Low Level Indicator,1,Unsigned,0,1,-,ALLCAN300
980,ISF Hydraulic System High Temperature Indicator,1,Unsigned,0,1,-,ALLCAN300
981,ISF Oil Overflow In Hydraulic Chamber Indicator,1,Unsigned,0,1,-,ALLCAN300
982,ISF Clogged Air Filter Indicator,1,Unsigned,0,1,-,ALLCAN300
983,ISF Clogged Fuel Filter Indicator,1,Unsigned,0,1,-,ALLCAN300
984,ISF Water in Fuel Indicator,1,Unsigned,0,1,-,ALLCAN300
985,ISF Clogged Brake System Filter Indicator,1,Unsigned,0,1,-,ALLCAN300
986,ISF Low Washer Fluid Level Indicator,1,Unsigned,0,1,-,"LVCAN, ALLCAN300"
987,ISF Low AdBlue Level Indicator,1,Unsigned,0,1,-,"LVCAN, ALLCAN300"
988,ISF Low Trailer Tyre Pressure Indicator,1,Unsigned,0,1,-,ALLCAN300
989,ISF Wear Of Trailer Brake Lining Indicator,1,Unsigned,0,1,-,ALLCAN300
990,ISF High Trailer Brake Temperature Indicator,1,Unsigned,0,1,-,ALLCAN300
991,ISF Incorrect Trailer Pneumatic Supply Indicator,1,Unsigned,0,1,-,ALLCAN300
992,ISF Low CNG Level Indicator,1,Unsigned,0,1,-,"LVCAN, ALLCAN300"
993,ASF Right Joystick Moved Right Active,1,Unsigned,0,1,-,ALLCAN300
994,ASF Right Joystick Moved Left Active,1,Unsigned,0,1,-,ALLCAN300
995,ASF Right Joystick Moved Forward Active,1,Unsigned,0,1,-,ALLCAN300
996,ASF Right Joystick Moved Back Active,1,Unsigned,0,1,-,ALLCAN300
997,ASF Left Joystick Moved Right Active,1,Unsigned,0,1,-,ALLCAN300
998,ASF Left Joystick Moved Left Active,1,Unsigned,0,1,-,ALLCAN300
999,ASF Left Joystick Moved Forward Active,1,Unsigned,0,1,-,ALLCAN300
1000,ASF Left Joystick Moved Back Active,1,Unsigned,0,1,-,ALLCAN300
1001,ASF First Rear hydraulic,1,Unsigned,0,1,-,ALLCAN300
1002,ASF Second Rear hydraulic,1,Unsigned,0,1,-,ALLCAN300
1003,ASF Third Rear hydraulic,1,Unsigned,0,1,-,ALLCAN300
1004,ASF Fourth Rear hydraulic,1,Unsigned,0,1,-,ALLCAN300
1005,ASF First Front hydraulic,1,Unsigned,0,1,-,ALLCAN300
1006,ASF Second Front hydraulic,1,Unsigned,0,1,-,ALLCAN300
1007,ASF Third Front hydraulic,1,Unsigned,0,1,-,ALLCAN300
1008,ASF Fourth Front hydraulic,1,Unsigned,0,1,-,ALLCAN300
1009,ASF Front Three-point Hitch,1,Unsigned,0,1,-,ALLCAN300
1010,ASF Rear Three-point Hitch,1,Unsigned,0,1,-,ALLCAN300
1011,ASF Front Power Take-off,1,Unsigned,0,1,-,ALLCAN300
1012,ASF Rear Power Take-off,1,Unsigned,0,1,-,ALLCAN300
1013,ASF Mowing Active,1,Unsigned,0,1,-,ALLCAN300
1014,ASF Threshing Active,1,Unsigned,0,1,-,ALLCAN300
1015,ASF Grain Release From Hopper,1,Unsigned,0,1,-,ALLCAN300
1016,ASF Grain Tank Is 100% Full,1,Unsigned,0,1,-,ALLCAN300
1017,ASF Grain Tank Is 70% Full,1,Unsigned,0,1,-,ALLCAN300
1018,ASF Grain Tank Is Opened,1,Unsigned,0,1,-,ALLCAN300
1019,ASF Unloader Drive,1,Unsigned,0,1,-,ALLCAN300
1020,ASF Cleaning Fan Control Turned Off,1,Unsigned,0,1,-,ALLCAN300
1021,ASF Threshing Drum Control Turned Off,1,Unsigned,0,1,-,ALLCAN300
1022,ASF Straw Walker Is Clogged,1,Unsigned,0,1,-,ALLCAN300
1023,ASF Excessive Clearance Under The Threshing Drum,1,Unsigned,0,1,-,ALLCAN300
1024,ASF Low Temperature Of Drive System Hydraulics Less Than 5 Grades,1,Unsigned,0,1,-,ALLCAN300
1025,ASF High Temperature Of Drive System Hydraulics Greater Than 86 Grades,1,Unsigned,0,1,-,ALLCAN300
1026,ASF Ear Auger Speed Below The Norm,1,Unsigned,0,1,-,ALLCAN300
1027,ASF Grain Auger Speed Below The Norm,1,Unsigned,0,1,-,ALLCAN300
1028,ASF Straw Chooper Speed Below The Norm,1,Unsigned,0,1,-,ALLCAN300
1029,ASF Straw Shaker Speed Below The Norm,1,Unsigned,0,1,-,ALLCAN300
1030,ASF Feeder Speed Below The Norm,1,Unsigned,0,1,-,ALLCAN300
1031,ASF Straw Chopper Switched On,1,Unsigned,0,1,-,ALLCAN300
1032,ASF Corn Header Connected,1,Unsigned,0,1,-,ALLCAN300
1033,ASF Grain Header Connected,1,Unsigned,0,1,-,ALLCAN300
1034,ASF Feeder Reverse Switched On,1,Unsigned,0,1,-,ALLCAN300
1035,ASF The Pressure Filter Of The Hydraulic Pump Is Clogged,1,Unsigned,0,1,-,ALLCAN300
1087,ASF Adapter Pressure Filter Sensor,1,Unsigned,0,1,-,ALLCAN300
1088,ASF Service 2 Required Indicator,1,Unsigned,0,1,-,ALLCAN300
1089,ASF Drain Filter Clogged Indicator,1,Unsigned,0,1,-,ALLCAN300
1090,ASF Section 1 Spraying,1,Unsigned,0,1,-,ALLCAN300
1091,ASF Section 2 Spraying,1,Unsigned,0,1,-,ALLCAN300
1092,ASF Section 3 Spraying,1,Unsigned,0,1,-,ALLCAN300
1093,ASF Section 4 Spraying,1,Unsigned,0,1,-,ALLCAN300
1094,ASF Section 5 Spraying,1,Unsigned,0,1,-,ALLCAN300
1095,ASF Section 6 Spraying,1,Unsigned,0,1,-,ALLCAN300
1096,ASF Section 7 Spraying,1,Unsigned,0,1,-,ALLCAN300
1097,ASF Section 8 Spraying,1,Unsigned,0,1,-,ALLCAN300
1098,ASF Section 9 Spraying,1,Unsigned,0,1,-,ALLCAN300
1036,USF Spreading,1,Unsigned,0,1,-,ALLCAN300
1037,USF Pouring Chemicals,1,Unsigned,0,1,-,ALLCAN300
1038,USF Conveyor Belt,1,Unsigned,0,1,-,ALLCAN300
1039,USF Salt Spreader's Drive Wheel,1,Unsigned,0,1,-,ALLCAN300
1040,USF Brushes,1,Unsigned,0,1,-,ALLCAN300
1041,USF Vacuum Cleaner,1,Unsigned,0,1,-,ALLCAN300
1042,USF Water Supply,1,Unsigned,0,1,-,ALLCAN300
1043,USF Spreading,1,Unsigned,0,1,-,ALLCAN300
1044,USF Liquid pump,1,Unsigned,0,1,-,ALLCAN300
1045,USF Unloading From The Hopper,1,Unsigned,0,1,-,ALLCAN300
1046,USF Low Salt (Sand) Level In Container Indicator,1,Unsigned,0,1,-,ALLCAN300
1047,USF Low Water Level in Container Indicator,1,Unsigned,0,1,-,ALLCAN300
1048,USF Chemicals,1,Unsigned,0,1,-,ALLCAN300
1049,USF Compressor,1,Unsigned,0,1,-,ALLCAN300
1050,USF Water Valve Is Opened,1,Unsigned,0,1,-,ALLCAN300
1051,USF Cabin Moved Up Status Active,1,Unsigned,0,1,-,ALLCAN300
1052,USF Cabin Moved Down Status Active,1,Unsigned,0,1,-,ALLCAN300
1099,USF Hydraulics Work Not Permitted,1,Unsigned,0,1,-,ALLCAN300
1053,CiSF Section 1 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1054,CiSF Section 1 Filled,1,Unsigned,0,1,-,ALLCAN300
1055,CiSF Section 1 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1056,CiSF Section 2 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1057,CiSF Section 2 Filled,1,Unsigned,0,1,-,ALLCAN300
1058,CiSF Section 2 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1059,CiSF Section 3 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1060,CiSF Section 3 Filled,1,Unsigned,0,1,-,ALLCAN300
1061,CiSF Section 3 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1062,CiSF Section 4 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1063,CiSF Section 4 Filled,1,Unsigned,0,1,-,ALLCAN300
1064,CiSF Section 4 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1065,CiSF Section 5 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1066,CiSF Section 5 Filled,1,Unsigned,0,1,-,ALLCAN300
1067,CiSF Section 5 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1068,CiSF Section 6 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1069,CiSF Section 6 Filled,1,Unsigned,0,1,-,ALLCAN300
1070,CiSF Section 6 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1071,CiSF Section 7 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1072,CiSF Section 7 Filled,1,Unsigned,0,1,-,ALLCAN300
1073,CiSF Section 7 Overfilled,1,Unsigned,0,1,-,ALLCAN300
1074,CiSF Section 8 Presence Of Fluid In The Downpipe,1,Unsigned,0,1,-,ALLCAN300
1075,CiSF Section 8 Filled,1,Unsigned,0,1,-,ALLCAN300
1076,CiSF Section 8 Overfilled,1,Unsigned,0,1,-,ALLCAN300
400,Distance to Next Service,4,Unsigned,0,4294967295,-,CAN adapters
450,CNG Level Kg,2,Unsigned,0,65535,Kg,CAN adapters
859,Distance from need of service,4,Unsigned,0,4294967295,km,CAN adapters
860,Distance from last service,4,Unsigned,0,4294967295,km,CAN adapters
861,Time to next service,2,Unsigned,0,65535,day,CAN adapters
862,Time from need of service,2,Unsigned,0,65535,day,CAN adapters
863,Time from last serivce,2,Unsigned,0,65535,day,CAN adapters
864,Distance to next oil service,4,Unsigned,0,4294967295,km,CAN adapters
865,Time to next oil service,2,Unsigned,0,65535,day,CAN adapters
866,LVCAN Vehicle Range,4,Unsigned,0,4294967295,km,CAN adapters
867,LVCAN Total CNG counted,4,Unsigned,0,65535,kg,CAN adapters
1079,Total Bale Count,4,Unsigned,0,0xFFFFFFFF,-,CAN adapters
1080,Bale Count,4,Unsigned,0,0xFFFFFFFF,-,CAN adapters
1081,Cut Bale Count,4,Unsigned,0,0xFFFFFFFF,-,CAN adapters
1082,Bale Slices,4,Unsigned,0,0xFFFFFFFF,-,CAN adapters
1116,LVCAN MaxRoadSpeed,1,Unsigned,0,255,km/h,CAN adapters
1117,LVCAN ExceededRoadSpeed,1,Unsigned,0,255,km/h,CAN adapters
1205,LVCAN RSF SpeedLimitSign,1,Unsigned,0,1,-,CAN adapters
1206,LVCAN RSF EndOfSpeedLimitSign,1,Unsigned,0,1,-,CAN adapters
1207,LVCAN RSF SpeedExceeded,1,Unsigned,0,1,-,CAN adapters
1208,LVCAN RSF TimeSpeedLimitSign,1,Unsigned,0,1,-,CAN adapters
1209,LVCAN RSF WthrSpeedLimitSign,1,Unsigned,0,1,-,CAN adapters
